Country,year,GDP_Growth,Total_Uemp_Nat,Uemp_Male,Uemp_Female,Youth_Uemp_M,Youth_Uemp_F,Pop_Growth,Remit_GDP,Edu_Spend,Gov_Consump,Lab_Force,LFPR,Internet_Users,HighTech_Exp,FDI,Private_Credit,Real_Interest,Energy_Imp,Edu_Tertiary,Life_Exp,Inflation
Jordan,1960,,,,,,,,,,,,,,,,,,,,52.678,
Jordan,1961,,,,,,,5.040294406,,,,,40.63,,,,,,,,53.68,
Jordan,1962,,,,,,,4.675455538,,,,,,,,,,,,,54.633,
Jordan,1963,,,,,,,4.588218032,,,,,,,,,,,,,55.489,
Jordan,1964,,,,,,,5.04236284,,,,,,,,,,,,,56.456,
Jordan,1965,,,,,,,5.978136616,,,,,,,,,14.77217554,,,,57.317,
Jordan,1966,,,,,,,6.932268199,,,,,,,,,15.82808511,,,,57.762,
Jordan,1967,,,,,,,7.58243217,,,,,,,,,16.34618794,,,,58.97,
Jordan,1968,,,,,,,7.665678712,,,,,,,,,19.12125749,,,,59.767,
Jordan,1969,,,,,,,7.076427376,,,,,,,,,17.4150641,,,,60.504,5.899999999
Jordan,1970,,,,,,,6.062094808,,3.63003993,,,,,,,19.09544658,,,,59.833,4.815864024
Jordan,1971,,,,,,,4.983855431,,3.297689915,,,,,,,18.49587118,,,,61.772,7.657657658
Jordan,1972,,,,,,,4.13250455,2.627839212,2.387429953,,,,,,0.071022677,17.00958807,,,,62.477,11.12970711
Jordan,1973,,,,,,,3.638843236,4.740408379,2.486939907,,,,,,0.225733725,19.12641084,,,,63.065,19.42771084
Jordan,1974,,,,,,,3.377890347,6.248385855,3.557689905,,,,,,0.570392088,20.81436349,,,,63.611,11.97982346
Jordan,1975,,,,,,,3.203548647,12.22758754,3.763479948,,,41.36,,,1.881167372,26.5242028,,,,64.148,11.5
Jordan,1976,,,,,,,3.065754437,24.04793157,3.534559965,33.51551481,,,,,-0.440761195,31.24894217,,,,64.654,14.56651719
Jordan,1977,8.298408854,,,,,,3.058939153,22.40131276,3.679899931,27.11471611,,,,,0.535594803,28.48710892,,,,65.127,6.9215213
Jordan,1978,14.67956602,,,,,,3.149143727,20.00517865,3.681629896,29.47315478,,,,,2.168592775,39.45140199,,,,65.602,14.24649176
Jordan,1979,20.80290926,,,,,,3.317702824,18.36996065,5.081729889,34.31043257,,43.08,,,0.806117202,45.19206107,,,,66.049,11.11111111
Jordan,1980,11.18484646,,,,,,3.660516048,20.30309974,,29.20422354,,,,,0.865224007,46.49703837,,,,66.493,7.7
Jordan,1981,17.17871744,,,,,,4.0065424,23.56191408,5.167679787,31.50628193,,,,,3.212033482,47.61390308,,,,66.92,7.428040854
Jordan,1982,7.025943387,,6.6,,,,4.26834681,23.11961537,5.088540077,28.9618811,,,,,1.26957885,51.08690382,,,,67.36,5.020167098
Jordan,1983,-2.219738554,,,,,,4.447743436,22.54979657,4.927959919,26.49725736,,,,,0.708531657,55.59588044,,,,67.778,3.847472738
Jordan,1984,4.291687765,,,,,,4.52238513,24.89709981,5.936950207,27.99392575,,,,,1.560002077,59.35644342,,,,68.206,2.985074627
Jordan,1985,-2.706947164,,13.3,,,,4.569564484,20.46974241,,26.98162996,,,,,0.499617908,60.55998173,,,,68.587,
Jordan,1986,5.504634242,,14.8,,,,4.609147031,18.49125465,3.284359932,25.2845347,,,,,0.355420633,57.64400803,,,,68.962,-0.2
Jordan,1987,2.323274377,,,,,,4.625130306,13.88281478,3.29666996,25.65706039,,,,,0.584626431,59.03292955,,,,69.297,6.613226453
Jordan,1988,1.462169817,,,,,,4.6607576,14.25706532,4.047500134,25.71927137,,,,,0.378047444,62.20403473,,,,69.605,25.7127193
